id,person,name,type,youtubeabos,Instagramfollower,TikTokFollower,Facebookfollower,wealth,salary,city,birth,sex,country,management,category
sw,SimonWiefels,ungespielt,0,3000000,2400000,469200,18966,5500000,140000,Funchal,1990,1,Madeira,Flow_fwd,99
jw,JoshuaWeissleder,SimonDesue,0,4240000,2000000,20300,5700000,5000000,40000,Dubai,1991,1,VereinigteArabischeEmirate,Divimove_We_are_era,99
sh,SaschaHellinger,unsympathischTV,0,2770000,1300000,3655,61440,1500000,25000,Stuttgart,1995,1,Deutschland,Flow_fwd,99
st,SophiaThiel,SophiaThiel,0,996000,1200000,158300,1287357,4000000,4500,Muenchen,1995,2,Deutschland,Studio71,99
fl,FelixvonderLaden,Dner,0,776000,2500000,72600,73628,1000000,20000,Reinbek,1994,1,Deutschland,Studio71,99
pm,PatrickMayer,Paluten,0,4370000,1900000,967600,142949,1900000,70000,Muenchen,1988,1,Deutschland,Studio71,99
jb,JulienBudorovits,JulienBam,0,5750000,4400000,65000,99,1800000,21200,Aachen,1988,1,Deutschland,Divimove_We_are_era,99
pr,PamelaReif,PamelaReif,0,8210000,8400000,540700,274830,4500000,65000,Karlsruhe,1996,2,Deutschland,99,99
jc,JulianClassen,Julienco,0,3990000,5500000,207400,564387,500000,18000,Koeln,1993,1,Deutschland,TiQuest,99
bc,BiancaClassen,BibisBeautyPalace,0,5900000,7800000,3100000,1100000,5000000,70000,Koeln,1993,2,Deutschland,TiQuest,99
so,SallyOezcan,SallysWelt,0,1970000,907000,68500,613260,6000000,22000,Karlsruhe,1988,2,Deutschland,Studio71,99
ls,LucaScharpenberg,laserluca,0,4600000,3400000,3000000,99,4000000,25000,Koeln,1996,1,Deutschland,Studio71,99
er,ErikRange,Gronkh,0,4900000,914000,99,882378,2000000,12000,Koeln,1977,1,Deutschland,Studio71,99
sm,SebastianMeyer,rewinside,0,3300000,2000000,333300,117732,2000000,8000,Koeln,1992,1,Deutschland,Studio71,99
me,MarcelEris,MontanaBlack,0,2870000,3100000,1900000,344415,1200000,65000,Hamburg,1988,1,Deutschland,ContentView_GmbH,99
nl,NicolasLazaridis,Inscope21,0,2750000,2100000,166500,280762,90000,12000,Stuttgart,1994,1,Deutschland,Flow_fwd,99
rz,Rezo,Rezo,0,1740000,1000000,1400000,99,200000,99,Aachen,1992,1,Deutschland,ALL_IN_Artist_Management_GmbH,99
sd,ShirinDavid,ShirinDavid,0,2860000,5900000,909500,99,7000000,25000,Berlin,1995,2,Deutschland,Shirin_David_Management,99
dk,DagmarKazakov,Dagibee,0,3970000,6500000,1000000,1200000,1500000,12500,Duesseldorf,1994,2,Deutschland,nohypeGmbH,99
uw,UweSchueder,FlyingUwe,0,1400000,688000,560500,749672,1200000,25000,Hamburg,1987,1,Deutschland,99,99
jk,JensKnossalla,Knossi,0,1250000,1400000,899800,63348,2000000,63000,Baden_Baden,1986,1,Deutschland,DLSConsulting,99
ms,MaximilianStemmler,Trymacs,0,2030000,864000,693800,9302,1500000,65000,Quickborn,1994,1,Deutschland,Studio71,99
ke,KarlEss,KarlEss,0,72300,189000,2746,589598,5000000,7000,Muenchen,1989,1,Deutschland,99,99
kk,KatjaKrasavice,KatjaKrasavice,0,456000,3100000,2000000,242671,1300000,85000,Leipzig,1996,2,Deutschland,Katja_Krasavice,99
jpk,JeanPierreKraemer,JPPerformance,0,2190000,1100000,99,836.246,1290000,60000,Dortmund,1980,1,Deutschland,Studio71,99
tw,99,TwitchStreams,1,99,99,99,99,99,99,99,99,99,99,99,Stream
us,99,UngeShop,1,99,99,99,99,99,99,99,99,99,99,99,Merchandising
bm,99,BeyondMeat,1,99,99,99,99,99,99,99,99,99,99,99,Investments
ta,99,Tesla,1,99,99,99,99,99,99,99,99,99,99,99,Investments
im,99,Immobilien,1,99,99,99,99,99,99,99,99,99,99,99,Immobilienkauf
cg,99,Chatgefluester,1,99,99,99,99,99,99,99,99,99,99,99,Podcast
wtf,99,WTF,1,99,99,99,99,99,99,99,99,99,99,99,EigeneMarke
js,99,JustSpices,1,99,99,99,99,99,99,99,99,99,99,99,Kooperation
mw,99,MeineWeltreiseUNGEreist ,1,99,99,99,99,99,99,99,99,99,99,99,Buch
pg,99,PlayaGames,1,99,99,99,99,99,99,99,99,99,99,99,Kooperation
ht,99,HiTech,1,99,99,99,99,99,99,99,99,99,99,99,Kooperation
mc,99,maxnomic,1,99,99,99,99,99,99,99,99,99,99,99,Kooperation
bf,99,Backforce,1,99,99,99,99,99,99,99,99,99,99,99,Kooperation
dc,99,DCFandome,1,99,99,99,99,99,99,99,99,99,99,99,Werbung
yf,99,yfood,1,99,99,99,99,99,99,99,99,99,99,99,Werbung
bmd,99,backmarketde,1,99,99,99,99,99,99,99,99,99,99,99,Werbung
